BRUTIA TANGO FEST 2026 — DASHBOARD KPI TRACKING
Data aggiornamento:,
Iscritti attuali:,/180
Budget speso:,€/€380
,,
=== FASE 1: AWARENESS (LUGLIO 1-31) ===
,,
SOCIAL MEDIA - INSTAGRAM,,
Metrica,Target,Effettivo
Week 1 (Lug 1-7) - Post published,1,
Week 1 - Total reach,1000,
Week 1 - Engagement %,8%,
Week 1 - Follower gain,+50,
Week 2 (Lug 8-14) - Post published,1,
Week 2 - Total reach,2000,
Week 2 - Engagement %,8%,
Week 2 - Follower gain,+75,
Week 3 (Lug 15-21) - Post published,1,
Week 3 - Total reach,3000,
Week 3 - Engagement %,8%,
Week 3 - Follower gain,+100,
Week 4 (Lug 22-31) - Post published,1,
Week 4 - Total reach,5000,
Week 4 - Engagement %,8%,
Week 4 - Follower gain,+150,
INSTAGRAM TOTALE LUGLIO,10000 reach,
,,
SOCIAL MEDIA - FACEBOOK,,
Metrica,Target,Effettivo
Week 1 (Lug 1-7) - Post published,1,
Week 1 - Total reach,800,
Week 1 - Comments,+10,
Week 1 - Shares,+5,
Week 2 (Lug 8-14) - Post published,1,
Week 2 - Total reach,1500,
Week 2 - Comments,+15,
Week 2 - Shares,+8,
Week 3 (Lug 15-21) - Post published,1,
Week 3 - Total reach,2500,
Week 3 - Comments,+20,
Week 3 - Shares,+12,
Week 4 (Lug 22-31) - Post published,1,
Week 4 - Total reach,4000,
Week 4 - Comments,+25,
Week 4 - Shares,+15,
FACEBOOK TOTALE LUGLIO,8800 reach,
,,
EMAIL CAMPAIGN,,
Metrica,Target,Effettivo
Email 1 - Date sent,Lug 1,
Email 1 - Recipients,600,
Email 1 - Open rate,25%,
Email 1 - Click rate,8%,
Email 2 - Date sent,Lug 8,
Email 2 - Recipients,650,
Email 2 - Open rate,26%,
Email 2 - Click rate,9%,
Email 3 - Date sent,Lug 15,
Email 3 - Recipients,700,
Email 3 - Open rate,27%,
Email 3 - Click rate,10%,
Email 4 - Date sent,Lug 22,
Email 4 - Recipients,750,
Email 4 - Open rate,28%,
Email 4 - Click rate,11%,
EMAIL TOTALE LUGLIO,"1.95k email sent, 26.5% avg open rate",
,,
AMBASSADOR RECRUITMENT,,
Metrica,Target,Effettivo
Maestri contattati,15,
Maestri confermati (si),12,
Student prospect da ambassador,75,
Ambassador tasso conferma,%,
,,
🎯 TARGET AWARENESS LUGLIO:,"✓ 10,000+ impressioni social","Effettivo:"
,✓ 12/15 maestri ambassador attivo,
,✓ 500+ email aperte,
,,
=== FASE 2: CONSIDERAZIONE (AGOSTO 1-31) ===
,,
CONVERSION FUNNEL,,
Metrica,Aug 1-7,Aug 8-15,Aug 16-31,TOTALE
Landing page visitors,500,1000,1500,3000
Landing page bounce rate,45%,40%,35%,40%
Form viewed,300,600,900,1800
Form started,200,400,600,1200
Form completed,100,200,350,650
Conversion rate (visitor→iscritto),10%,10%,12%,11%
,,
REGISTRAZIONI CUMULATIVE,,
Metrica,Aug 1-7,Aug 8-15,Aug 16-31,TOTALE
Iscritti totali (CUMULATIVI),30,60,100,100
Leader iscritti,15,30,50,50
Follower iscritti,15,30,50,50
Gender ratio,50:50,50:50,50:50,50:50
Tasso crescita settimanale,+30,+30,+40,+30%
,,
VIDEO & CONTENT PERFORMANCE,,
Metrica,Week 1 (TDJ 1),Week 2 (TDJ 2),Week 3 (TDJ 3),Week 4 (TDJ 4)
TDJ Reveal Video,Aug 1,Aug 8,Aug 15,Aug 22
Video views,400,500,550,600
Engagement rate,8%,9%,10%,11%
Shares,15,20,25,30
Comments,25,30,35,40
,,
EMAIL URGENCY PHASE - EARLY BIRD 72H,,
Metrica,Sent,Aperte,Click
Email "Early Bird -€80" (Aug 1 10am),700,__%,__%
Click → registrazione,100,,,
,,
🎯 TARGET CONSIDERAZIONE AGOSTO:,"✓ 100+ iscritti (66% del target)","Effettivo:"
,✓ 50% gender ratio leader/follower,
,✓ 25,000+ impressioni social cumulative,
,✓ Email open rate >26%,
,,
=== FASE 3: CONVERSIONE (SETTEMBRE-NOVEMBRE) ===
,,
REGISTRAZIONI CRITICAL WEEKS,,
Metrica,Set 1-7,Set 8-14,Ott 1-15,Ott 16+,Nov 1-15,TOTALE
Nuovi iscritti,30,25,20,10,15,100
Iscritti cumul.,130,155,175,185,200,200
% del target,72%,86%,97%,103%,111%,111%
Leader/Follower,65:65,78:77,88:87,93:92,100:100,100:100
Tasso crescita,+23%,+19%,+13%,+6%,+8%,+11%
,,
REFERRAL PROGRAM METRICS,,
Metrica,Set 1-30,Ott 1-31,Nov 1-30,TOTALE
Link referral creati,50,100,150,300
Click su referral link,200,500,800,1500
Conversioni referral,30,60,80,170
% iscritti da referral,23%,33%,40%,31%
Top 5 referrer (ranking),Rank 1: ___,Rank 1: ___,Rank 1: ___,
,Rank 2: ___,Rank 2: ___,Rank 2: ___,
,Rank 3: ___,Rank 3: ___,Rank 3: ___,
,,
EMAIL URGENCY CAMPAIGNS,,
Metrica,Settembre,Ottobre,Novembre,TOTALE
Email "Ultimissimi posti" - Sent,700,,,700
Email "Ultimissimi posti" - Open rate,30%,,,30%
Email "Ultimissimi posti" - Click rate,12%,,,12%
Email "4 giorni rimasti" - Sent,,700,,700
Email "4 giorni rimasti" - Open rate,,32%,,32%
Email "4 giorni rimasti" - Click rate,,13%,,13%
Email "Ultima Call" - Sent,,,700,700
Email "Ultima Call" - Open rate,,,35%,35%
Email "Ultima Call" - Click rate,,,15%,15%
,,
🎯 TARGET CONVERSIONE (FINE NOVEMBRE):,"✓ 180+ iscritti totali","Effettivo:"
,✓ 50% leader / 50% follower,
,✓ 40%+ iscritti da referral,
,✓ Email open rate >32%,
,✓ Costo per iscritto <€2.50,
,,
=== BUDGET & COSTO ISCRITTO ===
,,
Canale,Budget,Iscritti Target,Costo/Iscritto
Social Organic,€0,30,€0.00
Email (Mailchimp),€30,40,€0.75
Facebook Ads (opzionale),€100,20,€5.00
Ambassador incentive,€50,50,€1.00
Video production,€200,60,€3.33
TOTALE,€380,180,€2.11
,,
💡 NOTA: Costo per iscritto = Budget totale / Iscritti totali,
      Target efficienza: €2-3 per iscritto ✓,
,,
=== WEEKLY CHECK-IN (OGNI LUNEDÌ) ===
,,
Task,Completato,Note
Raccogliere numeri da Instagram Insights,☐,
Raccogliere numeri da Facebook Analytics,☐,
Raccogliere email open rate da Mailchimp,☐,
Contare iscrizioni nuove nel form,☐,
Contare referral da link custom,☐,
Calcolare gender ratio leader/follower,☐,
Aggiornare dashboard,☐,
Se KPI off-track → Aggiusta entro martedì,☐,
Pubblica weekly report con team,☐,
,,
=== DASHBOARD VISUALE (SUMMARY) ===
,,
LUGLIO,Target,Effettivo,% Completamento
Social Reach,10000,_____,_____%
Email Open Rate,26%,_____,_____%
Iscritti,0,_____,0%
Ambassador Attivi,12,_____,_____%
,,
AGOSTO,Target,Effettivo,% Completamento
Social Reach,25000,_____,_____%
Email Open Rate,27%,_____,_____%
Iscritti Cumul.,100,_____,55%
Gender Ratio,50:50,_____,_____
Costo/Iscritto,€2.5,_____,_____
,,
SETTEMBRE-NOVEMBRE,Target,Effettivo,% Completamento
Social Reach,50000,_____,_____%
Email Open Rate,33%,_____,_____%
Iscritti Cumul.,180,_____,100%
Gender Ratio,50:50,_____,_____
Referral %,40%,_____,_____%
Costo/Iscritto,€2.11,_____,_____
,,
=== NOTE & AGGIUSTAMENTI ===
,,
Week of:,KPI Status,Action Taken,Result
___,Green / Yellow / Red,___________,_______
___,Green / Yellow / Red,___________,_______
___,Green / Yellow / Red,___________,_______
___,Green / Yellow / Red,___________,_______
